District,Block,CultLand,CropCultLand,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,LandPreparationMethodFourWheelTracRotavator,LandPreparationMethodOther,LandPreparationMethodTractorPlough,LandPreparationMethodWetTillagePuddling,NursDetFactorIrrigWaterAvailability,NursDetFactorLabourAvailability,NursDetFactorPreMonsoonShowers,NursDetFactorSeedAvailability,TransDetFactorIrrigWaterAvailability,TransDetFactorLaborAvailability,TransDetFactorRainArrival,TransDetFactorSeedlingAge,OrgFertilizersGanaura,OrgFertilizersGhanajeevamrit,OrgFertilizersPoultryManure,OrgFertilizersPranamrit,OrgFertilizersVermiCompost,CropbasalFertsNPK,CropbasalFertsNPKS,CropbasalFertsOther,CropbasalFertsSSP,CropbasalFertsUrea,FirstTopDressFertNPKS,FirstTopDressFertOther,FirstTopDressFertSSP,FirstTopDressFertUrea
Jamui,Jamui,10.0,10.0,2022-07-02,4.0,Manual_PuddledRandom,2022-07-12,2022-08-02,4.0,3.0,Boring,Electric,300.0,1.0,3.0,10.0,Broadcasting,2.0,10.0,10.0,Broadcasting,,260.04545132340183,1085.0,60.0,Broadcasting,hand,2022-11-16,250.0,2023-02-10,machine,25.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Gaya,Wazirganj,28.0,14.0,2022-06-25,5.0,Manual_PuddledRandom,2022-06-21,2022-07-22,2.0,4.0,Boring,Electric,95.0,5.0,3.0,3601180816.0,SoilApplied,2.0,3.0,3.0,Broadcasting,3.0,29.0,6.0,9821502.0,Broadcasting,hand,2022-10-30,300.0,2022-11-10,machine,23.0,10.0,plowed_in_soil,0.1111111111111111,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Khaira,33.0,30.0,2022-07-21,4.0,Manual_PuddledRandom,2022-07-01,2022-07-28,2.0,4.0,Boring,Electric,400.0,3.0,8800340904861277.0,3.0,SoilApplied,3.0,12.0,,Broadcasting,19.0,23.0,23.0,62.0,Broadcasting,hand,2022-12-01,2000.0,2022-12-26,hand,23.0,10.0,plowed_in_soil,1.0,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Gaya,Gurua,20.0,20.0,2022-07-27,5.0,Manual_PuddledRandom,2022-06-21,2022-07-30,2.0,6.0,Boring,Electric,150.0,3.0,1.0,30.0,SoilApplied,2.0,10.0,3.0,Broadcasting,10.0,42.0,5.0,98.0,Broadcasting,hand,2022-11-18,120.0,2022-12-16,hand,28.0,10.0,plowed_in_soil,0.3703703703703703,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Gaya,Gurua,60.0,60.0,2022-07-03,7.0,Manual_PuddledRandom,2022-07-03,2022-08-05,2.0,3.0,Boring,Electric,240.0,10.0,1.0,1.0,SoilApplied,2.0,12.0,2.0,SoilApplied,7.0,45.0,4.0,43.0,Broadcasting,hand,2022-11-17,650.0,2022-12-02,hand,28.0,10.0,plowed_in_soil,0.4444444444444444,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,30.0,28.0,2022-06-08,2.0,Broadcasting,placeholder,2022-07-23,3.0,3.0,Boring,Electric,56.0,4.0,30042.0,12.0,Broadcasting,3.0,6.0,6.0,Broadcasting,4.0,28.0,6.0,56.0,Broadcasting,hand,2022-12-09,100.0,2023-01-14,hand,26.0,10.0,plowed_in_soil,0.1875,True,False,True,False,placeholder,False,False,placeholder,False,False,placeholder,placeholder,False,False,False,False,False,False,False,False,True,True,False,False,True,False
Nalanda,Rajgir,35.0,35.0,2022-07-09,5.0,Manual_PuddledRandom,2022-06-16,2022-07-11,2.0,6.0,Boring,Electric,180.0,3.0,2.0,3.0,SoilApplied,2.0,10.0,6.0,Broadcasting,16.0,40.0,10.0,56.0,Broadcasting,hand,2022-11-10,9300.0,2022-12-21,machine,23.0,10.0,plowed_in_soil,0.34375,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Gaya,Gurua,80.0,80.0,2022-06-20,5.0,LineSowingAfterTillage,2022-07-28,2022-08-25,2.0,12.0,Boring,Electric,300.0,6.0,1.0,1.0,RootApplication,2.0,15.0,10.0,Broadcasting,15.0,60.0,10.0,65.0,Broadcasting,hand,2022-11-28,1800.0,2023-01-10,machine,30.0,10.0,plowed_in_soil,0.5555555555555556,True,False,True,False,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,True,True,False,False,False,False,False,False,False,False,False,False,False,True
Jamui,Khaira,14.0,12.0,2022-07-21,3.0,Manual_PuddledRandom,2022-07-04,2022-07-28,2.0,2.0,Canal,placeholder,380.0,4.0,300.0,1.0,SoilApplied,3.0,4.0,5.0,Broadcasting,8.0,28.0,6.0,65.0,Broadcasting,hand,2022-11-07,150.0,2022-12-12,machine,28.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jamui,Khaira,35.0,25.0,2022-07-29,4.0,Manual_PuddledLine,2022-07-04,2022-08-04,1.0,5.0,Boring,Electric,500.0,2.0,812108148.0,3.0,SoilApplied,3.0,19.0,6.0,Broadcasting,19.0,23.0,21.0,65.0,Broadcasting,hand,2022-12-01,1500.0,2022-12-22,hand,21.0,10.0,plowed_in_soil,0.8181818181818182,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Gaya,Gurua,10.0,10.0,2022-07-25,5.0,Manual_PuddledRandom,2022-06-23,2022-07-26,3.0,5.0,Boring,Electric,90.0,3.0,1.0,1.0,SoilApplied,2.0,6.0,11.1,Broadcasting,6.0,32.0,3.0,62.0,Broadcasting,hand,2022-11-19,120.0,2022-12-18,hand,28.0,10.0,plowed_in_soil,0.2222222222222222,True,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,30.0,30.0,2022-06-11,6.0,Manual_PuddledRandom,2022-06-11,2022-07-18,2.0,6.0,Boring,Diesel,300.0,2.0,600.0,1.0,Broadcasting,2.0,5.0,5.0,Broadcasting,5.0,23.0,5.0,30.0,Broadcasting,hand,2022-11-05,350.0,2022-11-05,hand,22.0,10.0,plowed_in_soil,0.1875,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Nalanda,Rajgir,30.0,30.0,2022-07-06,6.0,Manual_PuddledRandom,2022-06-20,2022-07-09,1.0,5.0,Boring,Electric,175.0,2.0,20.0,45.0,SoilApplied,2.0,10.0,12.25,Broadcasting,12.0,26.0,10.0,15.0,Broadcasting,hand,2022-12-13,490.0,2023-03-10,machine,25.0,10.0,plowed_in_soil,0.21875,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Gaya,Gurua,30.0,30.0,2022-07-27,5.0,Manual_PuddledRandom,2022-06-23,2022-07-30,3.0,4.0,Boring,Electric,120.0,3.0,1.0,120.0,SoilApplied,2.0,8.0,15.0,Broadcasting,8.0,35.0,2.0,100.0,Broadcasting,hand,2022-11-18,120.0,2022-12-22,machine,30.0,10.0,plowed_in_soil,0.2962962962962963,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Jamui,Jamui,20.0,20.0,2022-07-25,4.0,Manual_PuddledRandom,2022-06-21,2022-08-02,4.0,5.0,Boring,Electric,1100.0,3.0,6.0,6.0,Broadcasting,3.0,5.0,5.0,Broadcasting,2.0,30.0,1.0,60.0,Broadcasting,hand,2022-11-23,90.0,2023-02-05,hand,30.0,10.0,plowed_in_soil,0.5,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,placeholder,placeholder,placeholder,placeholder,Broadcasting,False,False,False,True
Vaishali,Chehrakala,10.0,5.0,2022-06-13,4.0,Manual_PuddledRandom,2022-07-10,2022-08-02,2.0,2.0,Boring,Diesel,400.0,1.0,5.0,2.0,Broadcasting,2.0,6.0,12.0,Broadcasting,9.0,28.0,4.0,50.0,Broadcasting,hand,2022-11-05,300.0,2022-11-15,hand,30.0,10.0,plowed_in_soil,0.1363636363636364,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Vaishali,Mahua,1.0,1.0,2022-06-20,4.0,Manual_PuddledRandom,2022-07-15,2022-07-17,2.0,30.0,Boring,Electric,150.0,1.0,600.0,1.0,SoilApplied,3.0,2.0,2.0,SoilApplied,2.0,30.0,2.0,65.0,Broadcasting,hand,2022-11-05,200.0,2022-11-15,hand,30.0,10.0,plowed_in_soil,0.0454545454545454,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Jamui,23.0,16.0,2022-06-30,4.0,Manual_PuddledRandom,2022-07-21,2022-08-22,4.0,4.0,Boring,Electric,400.0,1.0,5.0,5.0,Broadcasting,2.0,15.0,15.0,Broadcasting,7.0,7.0,15.0,50.0,Broadcasting,hand,2022-11-25,360.0,2023-01-28,hand,23.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Vaishali,Mahua,1.0,1.0,2022-07-05,4.0,Manual_PuddledRandom,2022-07-06,2022-08-05,1.0,30.0,Boring,Electric,60.0,1.0,50.0,1.0,SoilApplied,2.0,2.0,2.0,SoilApplied,2.0,20.0,2.0,60.0,Broadcasting,hand,2022-11-05,200.0,2022-11-15,hand,30.0,10.0,plowed_in_soil,0.0454545454545454,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Nalanda,Rajgir,90.0,90.0,2022-06-11,4.0,LineSowingAfterTillage,2022-06-18,2022-07-24,3.0,6.0,Canal,Electric,100.0,5.0,35.0,10.0,19.0,2.0,20.0,10.0,Broadcasting,20.0,42.0,20.0,623130.0,Broadcasting,machine,2022-11-25,100.0,2022-11-26,hand,25.0,40.0,plowed_in_soil,0.3125,False,False,True,False,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,False,placeholder,False,False,False,False,False,False,True,False,False,False,True
Gaya,Gurua,30.0,30.0,2022-06-20,6.0,Manual_PuddledLine,2022-06-20,2022-07-16,2.0,15.0,Boring,Electric,300.0,5.0,75.0,1.0,Broadcasting,3.0,15.0,15.0,Broadcasting,15.0,15.0,7.0,7.0,Broadcasting,hand,2022-11-27,840.0,2022-12-10,hand,25.0,10.0,plowed_in_soil,0.5555555555555556,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
Gaya,Wazirganj,20.0,20.0,2022-07-20,4.0,Manual_PuddledRandom,2022-06-28,2022-07-21,2.0,3.0,Rainfed,placeholder,50.0,2.0,5.0,3.0,SoilApplied,2.0,5.0,5.0,Broadcasting,7.0,25.0,8.0,63.0,Broadcasting,hand,2022-10-30,100.0,2022-11-10,machine,30.0,10.0,plowed_in_soil,0.1851851851851852,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Nalanda,Noorsarai,40.0,30.0,2022-07-10,5.0,Manual_PuddledRandom,2022-06-28,2022-07-11,1.0,4.0,Boring,Electric,90.0,5.0,1.0,140.0,Broadcasting,1.0,12.0,18.0,Broadcasting,36.0,18.0,1.0,382.0,placeholder,hand,2022-10-20,900.0,2022-10-20,machine,25.0,10.0,plowed_in_soil,0.28125,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,placeholder,placeholder,placeholder,placeholder
Gaya,Gurua,46.0,46.0,2022-07-01,5.0,Manual_PuddledRandom,2022-06-20,2022-07-16,2.0,3.0,Rainfed,placeholder,120.0,2.0,1.0,1.0,SoilApplied,2.0,8.0,1.0,SoilApplied,4.0,42.0,4.0,62.02836190718,Broadcasting,hand,2022-11-12,125.0,2022-12-02,hand,25.0,10.0,plowed_in_soil,0.2962962962962963,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Noorsarai,32.0,30.0,2022-07-03,4.0,Manual_PuddledRandom,2022-06-20,2022-07-10,1.0,12.0,Boring,Electric,600.0,3.0,10.0,2200.0,SoilApplied,2.0,30.0,30.0,Broadcasting,60.0,30.0,30.0,50.0,Broadcasting,hand,2022-10-27,1500.0,2022-12-27,machine,25.0,10.0,plowed_in_soil,0.9375,True,False,True,False,True,False,False,True,True,False,False,True,placeholder,placeholder,False,placeholder,False,False,False,False,False,True,False,False,False,True
Jamui,Khaira,16.0,12.0,2022-07-27,4.0,Manual_PuddledRandom,2022-07-06,2022-08-01,1.0,3.0,Boring,Diesel,250.0,3.0,,2.0,SoilApplied,3.0,12.0,,Broadcasting,9.0,25.0,12.0,65.0,Broadcasting,hand,2022-12-01,900.0,2022-12-16,hand,23.0,10.0,plowed_in_soil,0.4090909090909091,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jamui,Jamui,8.0,8.0,2022-07-26,4.0,Manual_PuddledRandom,2022-06-30,2022-07-31,14.0,7.0,Boring,Electric,700.0,3.0,7.0,1.0,placeholder,2.0,14.0,14.0,Broadcasting,14.0,30.0,35.0,90.0,Broadcasting,hand,2022-11-15,400.0,2023-01-07,machine,24.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,True,False,True,False,False,False,True,True,placeholder,False,placeholder,False,False,False,False,False,False,True,False,False,False,True
Gaya,Gurua,20.0,20.0,2022-07-15,8.0,Manual_PuddledRandom,2022-06-27,2022-07-30,2.0,7.0,Boring,Electric,100.0,2.0,1.0,1.0,SoilApplied,3.0,7.0,5.0,Broadcasting,5.0,22.0,5.0,45.0,Broadcasting,hand,2022-11-18,120.0,2022-12-30,machine,25.0,10.0,plowed_in_soil,0.1851851851851852,True,False,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Khaira,23.0,16.0,2022-07-24,4.0,Manual_PuddledLine,2022-07-02,2022-08-02,1.0,4.0,Pond,Diesel,250.0,2.0,1.0,2.0,SoilApplied,3.0,12.0,4.17125,Broadcasting,12.0,25.0,12.0,65.0,Broadcasting,hand,2022-12-01,1000.0,2022-12-23,hand,21.0,10.0,plowed_in_soil,0.5454545454545454,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Gaya,Gurua,15.0,15.0,2022-06-30,6.0,Manual_PuddledRandom,2022-06-21,2022-08-09,1.0,3.0,Boring,Electric,80.0,3.0,1.0,1.0,SoilApplied,2.0,4.0,480.0,Broadcasting,5.0,35.0,4.0,50.0,Broadcasting,hand,2022-12-16,480.0,2023-01-15,machine,28.0,10.0,plowed_in_soil,0.1481481481481481,True,False,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Gaya,Wazirganj,28.0,25.0,2022-07-08,4.0,Manual_PuddledRandom,2022-06-20,2022-07-19,2.0,4.0,Boring,Electric,95.0,5.0,3.0,,SoilApplied,2.0,3.0,3.0,Broadcasting,2.0,21.0,3.0,52.0,Broadcasting,hand,2022-10-31,400.0,2022-11-17,machine,25.0,10.0,plowed_in_soil,0.1481481481481481,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Nalanda,Rajgir,35.0,35.0,2022-07-22,5.0,Manual_PuddledRandom,2022-06-14,2022-07-26,2.0,5.0,Boring,Electric,150.0,4.0,1.0,1.0,SoilApplied,2.0,20.0,10.0,Broadcasting,20.0,45.0,1.0,57.36,Broadcasting,hand,2022-11-24,900.0,2022-12-23,machine,25.0,10.0,plowed_in_soil,0.3125,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Nalanda,Rajgir,100.0,100.0,2022-07-14,6.0,Manual_PuddledRandom,2022-06-25,2022-07-20,2.0,6.0,Boring,Electric,200.0,5.0,3.0,10.0036063636364,SoilApplied,2.0,10.0,2.0,SoilApplied,20.0,40.0,50.0,85.0,Broadcasting,hand,2022-12-10,600.0,2023-01-05,machine,12.0,10.0,plowed_in_soil,0.3125,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Gaya,Wazirganj,60.0,50.0,2022-06-27,5.0,Manual_PuddledRandom,2022-06-27,2022-07-28,2.0,12.0,Rainfed,placeholder,150.0,5.0,5.0,5.0,SoilApplied,2.0,15.0,15.0,Broadcasting,20.0,45.0,5.0,50.0,Broadcasting,hand,2022-10-22,100.0,2022-10-30,hand,25.0,10.0,plowed_in_soil,0.5555555555555556,True,False,False,True,True,False,True,True,True,True,True,True,placeholder,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Jamui,20.0,20.0,2022-07-23,4.0,Manual_PuddledRandom,2022-06-18,2022-07-26,4.0,5.0,Boring,Electric,1000.0,3.0,5.0,4.0,Broadcasting,3.0,10.0,15.0,Broadcasting,2.0,30.0,1.0,60.0,Broadcasting,hand,2022-11-21,90.0,2023-01-27,hand,28.0,10.0,plowed_in_soil,0.4545454545454545,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,placeholder,placeholder,placeholder,placeholder,placeholder,False,False,False,True
Nalanda,Noorsarai,40.0,40.0,2022-07-24,4.0,Manual_PuddledRandom,2022-06-20,2022-07-25,2.0,8.0,Boring,Electric,300.0,2.0,2.0,1.0,placeholder,2.0,12.0,18.0,Broadcasting,18.0,38.0,6.24,6328.0,Broadcasting,machine,2022-11-30,100.0,2022-12-02,machine,25.0,40.0,plowed_in_soil,0.375,False,False,True,True,True,False,False,True,True,True,True,True,placeholder,placeholder,placeholder,False,placeholder,False,False,False,False,True,False,False,False,True
Vaishali,Mahua,20.0,10.0,2022-07-03,5.0,Manual_PuddledRandom,2022-06-30,2022-07-22,2.0,5.0,Boring,Diesel,300.0,2.0,15052.0,5.0,SoilApplied,1.0,20.0,522.0,SoilApplied,15.0,35.0,,30.0,placeholder,hand,2022-10-15,250.0,2022-10-25,hand,28.0,10.0,plowed_in_soil,0.1363636363636364,True,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,placeholder,placeholder,False,placeholder
Nalanda,Rajgir,55.0,55.0,2022-06-24,4.0,LineSowingAfterTillage,2022-06-27,2022-07-22,2.0,3.0,Boring,Electric,100.0,4.0,5.0,9.0,Broadcasting,2.0,10.0,5.0,Broadcasting,10.0,40.0,6.0,65.0,Broadcasting,machine,2022-12-05,10.0,2022-12-07,hand,25.0,40.0,plowed_in_soil,0.15625,True,False,False,False,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,True,placeholder,placeholder,placeholder,placeholder,False,False,False,False,True,False,False,False,True
Nalanda,Rajgir,39.0,31.0,2022-07-12,2.0,Broadcasting,placeholder,2022-07-15,2.0,6.0,Boring,Electric,72.0,3.0,50.0,12.0,Broadcasting,3.0,6.0,6.0,Broadcasting,6.0,28.0,6.0,56.0,Broadcasting,machine,2022-12-03,73200.0,2022-12-10,machine,26.0,40.0,plowed_in_soil,0.1875,True,False,True,False,True,placeholder,25,placeholder,90.0,placeholder,placeholder,placeholder,False,False,False,False,False,False,False,False,True,True,False,False,False,True
Jamui,Jamui,21.0,21.0,2022-07-27,4.0,Manual_PuddledRandom,2022-06-18,2022-08-01,4.0,5.0,Boring,Electric,1000.0,3.0,5.0,5.0,Broadcasting,3.0,4.0,25.0,Broadcasting,2.0,30.0,1.0,60.0,Broadcasting,hand,2022-11-29,85.0,2023-02-10,hand,30.0,10.0,plowed_in_soil,0.4545454545454545,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,placeholder,placeholder,placeholder,placeholder,placeholder,False,False,False,True
Gaya,Wazirganj,23.0,14.0,2022-06-26,4.0,Manual_PuddledRandom,2022-06-20,2022-07-21,2.0,4.0,Boring,Electric,95.0,5.0,3.0,1.0,SoilApplied,2.0,3.0,3.0,Broadcasting,3.0,28.0,3.0,60.0,Broadcasting,hand,2022-10-28,400.0,2022-11-16,machine,25.0,10.0,plowed_in_soil,0.1481481481481481,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Vaishali,Mahua,10.0,10.0,2022-06-20,4.0,Manual_PuddledRandom,2022-06-22,2022-07-20,1.0,3.0,Boring,Electric,1000.0,2.0,1.0,1.0,SoilApplied,3.0,10.0,10.0,Broadcasting,10.0,15.0,10.0,40.0,Broadcasting,hand,2022-11-03,400.0,2022-11-15,hand,30.0,10.0,plowed_in_soil,0.2272727272727273,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Khaira,15.0,15.0,2022-07-21,4.0,Manual_PuddledLine,2022-07-06,2022-07-26,2.0,2.0,Canal,placeholder,150.0,3.0,50.0,1.0,SoilApplied,3.0,4.0,20.0,Broadcasting,6.0,25.0,4.0,60.0,Broadcasting,hand,2022-11-12,200.0,2022-12-08,machine,28.0,10.0,plowed_in_soil,0.1818181818181818,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,25.0,22.0,2022-07-22,5.0,Manual_PuddledRandom,2022-07-03,2022-07-24,2.0,8.0,Rainfed,placeholder,180.0,5.0,2.0,1.0,SoilApplied,2.0,16.0,11.0,Broadcasting,24.0,41.0,618.36625,62.0,Broadcasting,hand,2022-11-30,4.0,2022-12-23,machine,26.0,10.0,plowed_in_soil,0.34375,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Nalanda,Rajgir,40.0,32.0,2022-07-13,2.0,Broadcasting,placeholder,2022-07-14,2.0,5.0,Boring,Electric,2408.0,3.0,5.0,12.0,SoilApplied,3.0,6.0,6.0,Broadcasting,6.0,29.0,6.0,56.0,Broadcasting,machine,2022-12-17,130.0,2022-12-17,machine,26.0,40.0,plowed_in_soil,0.1875,True,False,True,False,placeholder,True,False,placeholder,placeholder,placeholder,placeholder,placeholder,False,False,False,False,False,False,False,False,True,True,False,False,False,True
Jamui,Khaira,10.0,8.0,2022-07-18,3.0,Manual_PuddledRandom,2022-07-04,2022-07-25,3.0,1.0,Canal,placeholder,150.0,2.0,1.0,1.0,SoilApplied,3.0,2.0,50.0,Broadcasting,4.0,28.0,3.0,60.0,Broadcasting,hand,2022-11-04,150.0,2022-12-10,machine,26.0,10.0,plowed_in_soil,0.0909090909090909,False,False,True,False,False,False,False,True,True,True,True,True,placeholder,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Noorsarai,100.0,100.0,2022-07-16,3.0,Manual_PuddledRandom,2022-06-10,2022-07-20,1.0,8.0,Boring,Electric,800.0,8.0,1.0,1.0,placeholder,2.0,50.0,50.0,Broadcasting,50.0,35.0,50.0,40.0,Broadcasting,hand,2022-10-10,20000.0,2023-01-20,machine,24.0,10.0,plowed_in_soil,0.625,True,False,True,False,False,False,False,False,False,False,False,False,placeholder,False,False,placeholder,False,False,False,False,False,True,False,False,False,True
Nalanda,Rajgir,120.0,120.0,2022-06-16,4.0,Broadcasting,2022-06-20,2022-07-12,2.0,5.0,Boring,Electric,200.0,4.0,9.0,1030.0,SoilApplied,2.0,20.0,10.0,Broadcasting,20.0,28.0,7.0,56.0,Broadcasting,machine,2022-11-22,9052724245902.0,2022-11-24,hand,28.0,40.0,plowed_in_soil,0.3125,True,False,False,False,True,False,False,True,placeholder,True,placeholder,True,True,False,placeholder,False,False,False,False,False,False,True,False,False,False,True
Vaishali,Mahua,15.0,10.0,2022-07-03,5.0,Manual_PuddledRandom,2022-06-25,2022-07-26,2.0,3.0,Boring,Diesel,3.0,3.0,35.0,5.0,SoilApplied,1.0,25.0,20.0,SoilApplied,20.0,30.0,30.0,58.0,placeholder,hand,2022-10-15,400.0,2022-10-30,hand,30.0,10.0,plowed_in_soil,0.2272727272727273,True,False,True,True,True,True,True,False,True,False,True,True,False,False,False,False,placeholder,False,False,False,False,True,False,placeholder,False,True
Jamui,Jamui,38.0,38.0,2022-07-28,4.0,Manual_PuddledRandom,2022-06-19,2022-07-31,4.0,4.0,Boring,Electric,800.0,3.0,5.0,2.0,Broadcasting,3.0,4.0,4.0,Broadcasting,2.0,30.0,2.0,60.0,Broadcasting,hand,2022-11-30,90.0,2023-02-02,hand,28.0,10.0,plowed_in_soil,0.3636363636363636,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,placeholder,placeholder,placeholder,placeholder,placeholder,False,False,False,True
